k1,b,MAP,P@10,NDCG@10
0.5,0.0,0.26857614057049606,0.2017777777777778,0.3092155470245049
0.5,0.75,0.29189702387242233,0.2217777777777778,0.3395495686216298
0.5,1.0,0.29418955066391517,0.22311111111111112,0.33944625546906104
1.2,0.0,0.2822489994720583,0.21422222222222223,0.32682785273710324
1.2,0.75,0.31058424605368157,0.23422222222222225,0.3557246762470528
1.2,1.0,0.309856997793793,0.23733333333333337,0.35363936881907004
2.0,0.0,0.2906986849642317,0.21911111111111112,0.335820415375524
2.0,0.75,0.31687642397008553,0.24444444444444444,0.365937205450782
2.0,1.0,0.3135514506267713,0.2391111111111111,0.35633713876555695
